名稱	位置	生命	物理攻擊	魔法攻擊	物理防禦	魔法防禦	物理暴擊	魔法暴擊	命中	迴避	生命吸收	TP減輕	TP上升	TP自回	HP自回	回復上升
忍	40	24114	6718	0	273	219	414	0	36	17	20	0	33	90	1860	62
みみ	41	24215	7283	0	248	177	279	0	43	19	10	0	18	153	1145	55
靜流-情人節	42	31084	6190	0	329	242	245	0	42	9	17	0	26	164	1115	40
真陽	43	24579	6280	0	339	258	276	0	41	20	7	0	19	75	1785	35
優花梨	44	28984	5228	20	378	361	98	0	12	7	12	6	16	79	1455	41
莫妮卡	45	28518	5822	10	322	260	264	0	51	11	12	0	12	93	2435	24
妮諾	46	23215	7329	0	257	190	440	0	45	5	12	0	40	80	1070	44
のぞみ	47	30818	4685	20	464	376	88	0	22	20	11	4	10	79	1300	51
美冬	48	22913	6177	10	407	286	199	0	21	27	13	6	11	50	325	82
伊莉亞	49	19011	0	7932	141	218	0	362	0	0	6	17	11	347	1080	60
香織	50	19491	7827	0	242	142	468	0	49	18	9	15	46	270	2235	30
咲戀	51	27769	6731	0	252	188	259	0	32	17	11	0	23	174	780	50
杏奈	52	19601	0	7735	160	236	0	348	0	0	6	17	11	322	1160	45
忍-萬聖節	53	20716	7414	0	265	170	419	0	52	15	17	0	30	105	2670	67
美冬-夏日	54	22101	7152	10	334	226	295	0	21	24	6	0	14	75	325	70
可可蘿	55	25709	5627	20	489	349	80	0	0	36	4	4	6	225	2515	68
步未	56	26628	5174	20	460	335	115	0	6	31	4	4	9	100	2190	66
古蕾婭	57	18404	0	8001	151	213	0	352	0	0	6	17	11	382	1080	50
可可蘿-夏日	58	26029	5461	112	465	376	60	0	10	37	4	4	6	210	2275	98
雷姆	59	19386	8301	0	202	153	367	0	33	2	6	0	25	130	1245	30
拉姆	60	16980	0	7562	138	210	0	367	0	0	6	17	11	322	880	45
鈴	61	25387	5227	10	445	354	60	0	10	37	7	4	11	220	2400	71
深月	62	27900	6421	10	318	241	252	0	22	3	8	2	18	244	1745	30
茜里	63	24418	26	5845	272	429	0	117	0	0	0	19	8	205	1860	139
依里	64	21614	0	7527	157	229	0	344	0	0	10	17	14	312	1080	60
咲戀	65	30324	5418	20	365	309	88	0	12	28	8	4	10	84	845	61
宮子-萬聖節	66	21226	6927	0	281	193	395	0	62	41	9	10	46	270	2075	45
亞里莎	67	16737	7229	0	171	252	357	0	64	15	8	0	31	160	2385	40
安	68	19586	0	7853	156	220	0	367	0	0	6	17	11	322	880	45
露	69	17412	0	7612	129	197	0	367	0	0	6	17	11	322	880	45
ねねか	70	19101	0	7862	141	226	0	352	0	0	6	17	11	532	1080	45
あおい	71	18083	7014	0	224	255	337	0	54	3	8	0	34	160	2985	30
璃乃	72	17999	7573	0	199	232	351	0	49	24	8	0	26	160	2455	55
鈴奈	73	18632	7154	0	201	242	332	0	60	3	8	0	34	160	2985	30
鈴奈	74	17480	7259	0	201	242	352	0	54	3	8	0	34	160	2985	30
栞	75	17249	7153	0	185	254	371	0	54	12	8	0	31	190	2440	35
伊緒	76	20711	0	6528	258	372	0	255	0	0	4	11	14	325	1360	52
伊緒	77	21041	26	6084	294	442	0	97	0	0	0	19	8	205	1860	147
鈴莓	78	21717	52	6008	240	365	0	165	0	0	0	24	8	183	1560	117
愛蜜莉雅	79	23139	0	6750	221	307	0	240	0	0	0	3	14	263	1195	151
霞	80	21920	26	5285	285	445	0	117	0	0	0	19	8	205	1860	139
美里	81	20446	0	5851	257	388	0	106	0	0	0	23	8	303	1315	145
七七香	82	18317	0	6904	168	273	0	327	0	2	4	16	11	301	1180	45
優衣-新年	83	21110	0	5927	240	385	0	109	0	0	0	21	8	303	1315	146
凱留	84	18132	0	7778	141	222	0	457	0	0	6	17	11	502	1080	45
初音	85	18594	0	6940	186	255	0	337	0	0	4	16	11	301	1180	45
美咲	86	18042	0	7478	136	213	0	387	0	0	6	17	11	407	1080	45
るな	87	17108	0	7501	131	218	0	362	0	0	6	17	11	347	1080	60
千歌-聖誕節	88	19938	0	5804	262	414	0	90	0	0	0	26	8	318	1445	135
鈴莓-夏日	89	21560	52	5492	284	422	0	77	0	0	0	23	8	167	1620	140
凱留-夏日	90	16980	0	7964	134	200	0	454	0	0	6	17	11	514	880	45
碧	91	20669	6267	0	290	268	246	0	34	27	8	4	29	155	2765	55
千歌	92	20426	0	5913	249	415	0	82	0	0	0	23	8	318	1545	135
真步	93	17412	0	7462	120	254	0	357	0	0	6	17	11	382	880	45
真步	94	21878	52	5393	293	448	0	77	0	0	0	23	8	227	1620	140
優衣	95	20969	0	5748	286	407	0	79	0	0	0	18	11	279	1415	152
雪	96	21273	52	5983	250	354	0	161	0	0	0	22	8	231	1760	135
鏡華	97	19359	0	7387	141	214	0	362	0	0	6	17	11	347	1080	60
美咲-萬聖節	98	20272	0	6288	235	321	0	290	0	0	4	11	14	325	1360	52
きょうか	99	16660	0	7264	151	292	0	180	0	0	0	31	5	322	1800	128
